stage	file	status	reproducibility_role	required_source
canonical_rebuild_runner	analysis/rebuild_frozen_analysis.py	active_external_input	Durable local-ZIP entry point for source validation, environment reconstruction, full27 atlas, whole-capitulum analyses and optional sensitivities	owner-side archived copies of artifacts 9612943217 and 9632715852
detector_screening	ch1_global/v2/07_screen_downloaded_images_with_yolo.py	active_external_input	Apply the frozen visible-capitulum detector to source images	production detector package artifact 8076736948; weight SHA256 4078e0510532852681b65ee529cd82237b649ec99b17c4ca5f1da460a62d2bed
continuous_trait_contract	ch1_global/v2/87_validate_continuous_trait_contract.py	active	Validate the frozen 27-endpoint category-free measurement contract	ch1_global/v2/ontology/ch1_continuous_trait_contract.csv
continuous_trait_measurement	ch1_global/v2/89_measure_extended_continuous_traits.py	active_external_input	Measure extended continuous image traits on reconstructed head crops	frozen detector/crop metadata or source-image URLs
continuous_trait_universe	ch1_global/v2/88_build_continuous_trait_universe.py	active_external_input	Assemble primary and extended measurements into the frozen long trait universe	continuous-trait source artifact 9612943217 can be used as the immutable checkpoint
environment_core	ch1_global/v2/92_sample_chelsa_for_continuous_universe.py	active_external_input	Attach the frozen core CHELSA predictors to the strict-spatial cohort	strict-spatial observation coordinates and frozen CHELSA sources
environment_process	analysis/sample_chelsa_process_environment.py	active_external_input	Attach the five frozen process-extension predictors	analysis/ch1/chelsa_process_environment_sources.json and network/local raster cache
broad_region_lookup	analysis/rebuild_frozen_broad_region_lookup.py	active_external_input	Fail-closed rebuild of the exact broad-region lookup used by the sampling audit	strict-spatial cohort SHA256 2172e3570f684770d0f919ecd81265c8460574e287bc4fb057db4f719cab7bb0 plus Natural Earth 1:50m admin-0 ZIP SHA256 5fed433373581fa648920435f937d95f2d3c0200e067409c6478dcdf1b853139
broad_region_assignment_builder	analysis/build_naturalearth_broad_region_lookup.py	active	Deterministic polygon/nearest-country assignment implementation used by the frozen broad-region wrapper	Natural Earth 1:50m admin-0 shapefile
native_status_rebuild	analysis/rebuild_frozen_native_status.py	active_external_input	Rebuild the locked WCVP/TDWG observation-level native-status table without manuscript inputs	strict-spatial cohort SHA256 2172e3570f684770d0f919ecd81265c8460574e287bc4fb057db4f719cab7bb0 plus analysis/ch1/native_range_sensitivity_contract.json
native_status_contract	analysis/ch1/native_range_sensitivity_contract.json	frozen_contract	Freeze WCVP dataset identity and TDWG level-3 source/rules used for native-status classification	WCVP dataset DOI 10.15468/6h8ucr and TDWG commit 52da7828aba9d461dd133c27b3bd7a4407161f54
frozen_python_environment	reproducibility/frozen-numerical-rebuild-requirements.txt	frozen_environment	Exact Python package versions recovered from the 2026-08-26/27 numerical and spatial artifacts	artifact-recorded python_environment.txt files
full27_atlas	analysis/run_geb_v2_full27_environment_atlas.py	active_external_input	Recompute the 27-endpoint by nine-predictor within/among atlas	artifact 9612943217 traits plus reconstructed nine-predictor environment
full27_validation	analysis/validate_geb_v2_full27_environment_atlas.py	active	Fail-closed validation of the complete atlas	analysis_outputs/v2_full27_environment_atlas_2026-08-27 and optional artifact 9632715852 reference environment
sampling_composition	analysis/run_geb_v2_full27_sampling_composition_sensitivity.py	active_external_input	Recompute selected-row sampling-composition perturbations	region SHA256 085c4e8d45ceb34d32c6c961675ce74a4f0a33580f6cdd8ecd2ff1800a6364ff and native-status SHA256 c01eeb9ff245d7f73da1a12fa4eede904dd9770467655f20e3d85de2ac8dd84a
spatial_sensitivity	analysis/run_geb_v2_full27_spatial_sensitivity.py	active_external_input	Recompute broad-space sensitivity and residual Moran diagnostics	full27 atlas, traits and reconstructed environment
historical_sensitivity	analysis/run_geb_v2_full27_historical_sensitivity.py	active_external_input	Recompute 52-tree historical-placement sensitivity	placement trees reconstructed by ch1_global/v2/65_audit_and_build_historical_trees.R
whole_capitulum_space	analysis/run_capitulum_functional_space.py	active_external_input	Recompute complete-18 multilevel phenotype organization	artifact 9612943217 trait universe
whole_capitulum_environment	analysis/run_capitulum_environment_blocks.py	active_external_input	Recompute six predeclared environmental block tests	artifact 9612943217 traits and reconstructed nine-predictor environment
whole_capitulum_incremental	analysis/run_capitulum_environment_incremental.py	active_external_input	Recompute process-variable increments beyond the core four	artifact 9612943217 traits and reconstructed nine-predictor environment
environment_collinearity	analysis/audit_v2_environment_collinearity.py	active_external_input	Recompute the retrospective nine-predictor correlation/VIF diagnostic	artifact 9632715852 complete18_chelsa_process.csv
figure_rebuild	.github/workflows/rebuild-frozen-figures.yml	active	Rebuild all frozen result figures from tracked machine-readable outputs	tracked analysis_outputs and reproducibility/figures/source
integrity_ci	.github/workflows/reproducibility-integrity.yml	active	Compile code and verify reproducibility contracts, outputs and manifest	tracked repository tree
source_artifact_catalog	reproducibility/actions_artifact_catalog.json	frozen_artifact	Record immutable/ephemeral source artifact identities, digests and archival state	GitHub Actions artifact metadata plus owner archival copies
frozen_outputs	analysis_outputs/README.md	frozen_output	Document the canonical frozen numerical result tree and historical recovery tag	analysis_outputs/v2_full27_environment_atlas_2026-08-27
